evidence_id,domain,title,primary_adr,criticality,minimum_evidence_level,status,implementation_owner,evidence_owner,independent_reviewer,verification_profile_version,broker_capability_profile_version,latest_run_id,latest_result_date,evidence_location,notes
SA-EV-005,Safety Authority,Monotonic Lease Expiry,ADR-002-003,Critical,EV-L2/3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
SA-EV-006,Safety Authority,Lease Owner Restart,ADR-002-003,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
SA-EV-007,Safety Authority,Overlapping Lease Failover,ADR-002-003,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
SA-EV-008,Safety Authority,Hard Fence,ADR-002-003,Critical,EV-L3+Broker,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
SA-EV-009,Safety Authority,HALT Versus Permissive Capability,ADR-002-003,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
SA-EV-010,Safety Authority,Re-arm Gate,ADR-002-003,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
SA-EV-011,Safety Authority,Time Discontinuity,ADR-002-003,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
SA-EV-012,Safety Authority,Key Rotation and Revocation,ADR-002-003,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
SA-EV-013,Safety Authority,Egress Bypass Test,ADR-002-003,Critical,EV-L3+Security,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
SA-EV-014,Safety Authority,Epoch Registry Failure,ADR-002-003,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
SA-EV-015,Safety Authority,Authority Evidence Replay,ADR-002-003,Critical,EV-L2,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
BC-EV-001,Broker Capability,Broker Identity and Attribution,ADR-002-004,Critical,EV-L3/5,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
BC-EV-002,Broker Capability,Lost Broker Acknowledgement,ADR-002-004,Critical,EV-L3/5,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
BC-EV-003,Broker Capability,Duplicate Submission,ADR-002-004,Critical,Profile-dependent,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
BC-EV-004,Broker Capability,Fill Before Acknowledgement,ADR-002-004,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
BC-EV-005,Broker Capability,Duplicate and Out-of-Order Fills,ADR-002-004,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
BC-EV-006,Broker Capability,Query Omission,ADR-002-004,Critical,EV-L3/5,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
BC-EV-007,Broker Capability,Cancel Crossing Fill,ADR-002-004,Critical,EV-L3/5,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
BC-EV-008,Broker Capability,Late Fill and Correction,ADR-002-004,Critical,EV-L3/5,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
BC-EV-009,Broker Capability,Replace Semantics,ADR-002-004,Critical,EV-L3/5,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
BC-EV-010,Broker Capability,Reduce-Only or Exit Reversal,ADR-002-004,Critical,EV-L3/5,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
BC-EV-011,Broker Capability,External Activity Detection,ADR-002-004,Critical,EV-L3/5,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
BC-EV-012,Broker Capability,Polling Under Rate Pressure,ADR-002-004,Critical,EV-L3/5,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
BC-EV-013,Broker Capability,Protective Request Under Saturation,ADR-002-004,Critical,EV-L3/5,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
BC-EV-014,Broker Capability,Session Failure and Reconnect,ADR-002-004,Critical,EV-L3/5,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
BC-EV-015,Broker Capability,Broker Credential Fencing,ADR-002-004,Critical,EV-L3+Security,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
BC-EV-016,Broker Capability,Capability Drift,ADR-002-004,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
BC-EV-017,Broker Capability,Pagination and History Window,ADR-002-004,Critical,EV-L3/5,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
BC-EV-018,Broker Capability,Position and Margin Conflict,ADR-002-004,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
BC-EV-019,Broker Capability,Corporate/Administrative Change,ADR-002-004,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
BC-EV-020,Broker Capability,Environment Isolation,ADR-002-004,Critical,EV-L3+Security,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
BC-EV-021,Broker Capability,Profile Version Enforcement,ADR-002-004,Critical,EV-L2/3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
BC-EV-022,Broker Capability,Broker Evidence Replay,ADR-002-004,Critical,EV-L2,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
X-EV-001,Cross-System,End-to-End Normal Order,ADR-002-002/003/004,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
X-EV-002,Cross-System,Safety Authority Failover During Commit,ADR-002-002/003/004,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
X-EV-003,Cross-System,Ledger Failover During Authority Partition,ADR-002-002/003/004,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
X-EV-004,Cross-System,ACK Loss Plus External Manual Order,ADR-002-002/003/004,Critical,EV-L3/5,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
X-EV-005,Cross-System,Protective Action Under Broker Saturation,ADR-002-002/003/004,Critical,EV-L3/5,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
X-EV-006,Cross-System,Cancel/Replace During Safety HALT,ADR-002-002/003/004,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
X-EV-007,Cross-System,Restart With Live UNKNOWN Orders,ADR-002-002/003/004,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
X-EV-008,Cross-System,Clock Failure During Degraded Protection,ADR-002-002/003/004,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
X-EV-009,Cross-System,Deployment Rollback Restores Stale Instance,ADR-002-002/003/004,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
X-EV-010,Cross-System,Corporate Action During Open Order,ADR-002-002/003/004,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
X-EV-011,Cross-System,Broker Capability Drift During Live Session,ADR-002-002/003/004,Critical,EV-L3/5,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
X-EV-012,Cross-System,Recovery and Partial Re-arm,ADR-002-002/003/004,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
TIME-EV-001,Trustworthy Time,Wall-Clock Rollback and Jump,ADR-002-008,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
TIME-EV-002,Trustworthy Time,Clock Freeze,ADR-002-008,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
TIME-EV-003,Trustworthy Time,Reference-Source Disagreement,ADR-002-008,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
TIME-EV-004,Trustworthy Time,Monotonic Discontinuity,ADR-002-008,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
TIME-EV-005,Trustworthy Time,Restart and Suspension,ADR-002-008,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
TIME-EV-006,Trustworthy Time,Holdover Boundary,ADR-002-008,Critical,EV-L2/3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
TIME-EV-007,Trustworthy Time,Freshness and Ordering Ambiguity,ADR-002-008,Critical,EV-L2/3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
TIME-EV-008,Trustworthy Time,Session-Boundary Uncertainty,ADR-002-008,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
TIME-EV-009,Trustworthy Time,Time Recovery Generation,ADR-002-008,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
TIME-EV-010,Trustworthy Time,Egress Time Currentness,ADR-002-008,Critical,EV-L3+Security,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
REARM-EV-001,Live Authorization and Re-arm,Default Non-Live,ADR-002-007,Critical,EV-L3+Security,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
REARM-EV-002,Live Authorization and Re-arm,Complete Re-arm Gate,ADR-002-007,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
REARM-EV-003,Live Authorization and Re-arm,Automatic Re-arm Prevention,ADR-002-007,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
REARM-EV-004,Live Authorization and Re-arm,Fresh Authorization Identity,ADR-002-007,Critical,EV-L3+Security,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
REARM-EV-005,Live Authorization and Re-arm,Human Dual Control,ADR-002-007,Critical,EV-L3+Security,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
REARM-EV-006,Live Authorization and Re-arm,Atomic Safety Configuration,ADR-002-007,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
REARM-EV-007,Live Authorization and Re-arm,UNKNOWN and Conservative Capacity,ADR-002-007,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
REARM-EV-008,Live Authorization and Re-arm,Continuous Invalidation Bound,ADR-002-007,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
REARM-EV-009,Live Authorization and Re-arm,Partial Re-arm Scope,ADR-002-007,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
REARM-EV-010,Live Authorization and Re-arm,Final Egress Authorization Currentness,ADR-002-007,Critical,EV-L3+Security,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
REARM-EV-011,Live Authorization and Re-arm,HALT Restrictive Precedence,ADR-002-007,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
REARM-EV-012,Live Authorization and Re-arm,Authorization Evidence Replay,ADR-002-007,Critical,EV-L2,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,TBD,,,,
